test_id,strategy_name,total_return,weekly_return,win_rate,num_trades,winners,losers,avg_winner,avg_loser,winner_loser_ratio,max_drawdown,sharpe_ratio,profit_factor,param_strategy_type,param_ma_type,param_fast_ma,param_slow_ma,param_volume_multiplier,param_rsi_threshold,param_entry_confirmation,param_trailing_activation_pct,param_trailing_distance_pct,param_adaptive_trailing,param_strong_momentum_trail,param_weak_momentum_trail,param_momentum_lookback,param_pattern_types,param_confirmation_volume,param_confirmation_ma,param_min_body_pct,param_bb_period,param_bb_std,param_entry_trigger,param_exit_trigger,param_rsi_filter,param_rsi_period,param_oversold_threshold,param_overbought_threshold,param_exit_strategy,param_rsi_neutral,param_profit_target_pct,param_entry_type,param_exit_type,param_streak_rsi_period,param_pct_rank_period,param_crsi_oversold,param_crsi_overbought,param_max_hold_days,param_min_gap_pct,param_max_gap_pct,param_gap_confirmation,param_min_volume_multiplier,param_entry_time_window
30,momentum_ma,0.2098,0.0163,0.513,31,15,16,0.029,0.0141,2.06,0.1143,1.04,1.93,momentum,SMA,5,30,1.2,30,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,momentum_ma,0.2659,0.0207,0.5254,20,10,10,0.0333,0.0067,4.95,0.1115,1.84,4.95,momentum,SMA,5,30,1.2,40,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,momentum_ma,0.7976,0.062,0.4869,80,38,42,0.034,0.0117,2.89,0.1589,1.25,2.62,momentum,SMA,5,30,1.2,40,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,momentum_ma,1.1785,0.0917,0.47,93,43,50,0.0321,0.0041,7.89,0.1032,1.57,6.78,momentum,SMA,5,30,1.2,40,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,momentum_ma,0.0728,0.0057,0.3758,30,11,19,0.0365,0.0173,2.11,0.0783,2.32,1.22,momentum,SMA,5,30,1.2,50,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,momentum_ma,0.521,0.0405,0.4554,78,35,43,0.033,0.0147,2.24,0.1837,0.24,1.82,momentum,SMA,5,30,1.2,50,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,momentum_ma,0.0153,0.0012,0.3571,54,19,35,0.0317,0.0167,1.89,0.2456,1.36,1.03,momentum,SMA,5,30,1.2,50,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,momentum_ma,0.7364,0.0573,0.4415,97,42,55,0.0271,0.0073,3.71,0.2071,2.34,2.83,momentum,SMA,5,30,1.5,30,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,momentum_ma,0.2964,0.0231,0.5456,32,17,15,0.0229,0.0062,3.71,0.165,0.0,4.2,momentum,SMA,5,30,1.5,30,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,momentum_ma,0.4215,0.0328,0.4307,50,21,29,0.034,0.0101,3.37,0.2341,0.69,2.44,momentum,SMA,5,30,1.5,30,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,momentum_ma,0.1762,0.0137,0.498,54,26,28,0.0082,0.0013,6.23,0.1741,0.67,5.79,momentum,SMA,5,30,1.5,40,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,momentum_ma,0.6256,0.0487,0.5342,99,52,47,0.0269,0.0164,1.64,0.1814,2.87,1.81,momentum,SMA,5,30,1.5,40,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,momentum_ma,1.1323,0.0881,0.5307,94,49,45,0.0321,0.0097,3.29,0.2334,2.29,3.58,momentum,SMA,5,30,1.5,40,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,momentum_ma,-0.0019,-0.0001,0.436,21,9,12,0.0325,0.0245,1.32,0.1576,0.03,0.99,momentum,SMA,5,30,1.5,50,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,momentum_ma,-0.1924,-0.015,0.4487,52,23,29,0.0135,0.0173,0.78,0.1007,-0.82,0.62,momentum,SMA,5,30,1.5,50,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,momentum_ma,0.8266,0.0643,0.4931,94,46,48,0.0258,0.0075,3.43,0.196,1.66,3.29,momentum,SMA,5,30,1.5,50,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,momentum_ma,0.0703,0.0055,0.4348,46,19,27,0.0337,0.0211,1.6,0.1199,1.62,1.12,momentum,SMA,5,30,2.0,30,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,momentum_ma,0.411,0.032,0.4411,74,32,42,0.0319,0.0146,2.2,0.2378,1.4,1.67,momentum,SMA,5,30,2.0,30,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,momentum_ma,1.1895,0.0925,0.3666,96,35,61,0.0346,0.0003,102.3,0.0815,1.79,58.69,momentum,SMA,5,30,2.0,30,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,momentum_ma,0.3932,0.0306,0.508,91,46,45,0.03,0.022,1.37,0.2316,1.66,1.4,momentum,SMA,5,30,2.0,40,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,momentum_ma,-0.1089,-0.0085,0.5352,84,44,40,0.0185,0.0231,0.8,0.1419,-0.99,0.88,momentum,SMA,5,30,2.0,40,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,momentum_ma,0.4629,0.036,0.5461,74,40,34,0.0201,0.01,2.01,0.2388,2.58,2.36,momentum,SMA,5,30,2.0,40,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,momentum_ma,0.5468,0.0425,0.3967,89,35,54,0.0341,0.012,2.85,0.1611,2.18,1.85,momentum,SMA,5,30,2.0,50,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,momentum_ma,-0.2981,-0.0232,0.4977,53,26,27,0.0187,0.029,0.64,0.2498,-0.45,0.62,momentum,SMA,5,30,2.0,50,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,momentum_ma,0.3848,0.0299,0.4191,42,17,25,0.0309,0.0056,5.5,0.1472,2.49,3.74,momentum,SMA,5,30,2.0,50,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,momentum_ma,0.2623,0.0204,0.4742,82,38,44,0.0191,0.0105,1.81,0.1809,2.25,1.57,momentum,SMA,5,50,1.2,30,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,momentum_ma,-0.0199,-0.0015,0.3922,94,36,58,0.0172,0.011,1.56,0.0603,-0.98,0.97,momentum,SMA,5,50,1.2,30,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,momentum_ma,-0.029,-0.0023,0.4268,76,32,44,0.0328,0.0245,1.34,0.1534,0.21,0.97,momentum,SMA,5,50,1.2,30,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,momentum_ma,-0.4055,-0.0315,0.4077,25,10,15,0.029,0.0463,0.62,0.0917,-1.64,0.42,momentum,SMA,5,50,1.2,40,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,momentum_ma,0.3064,0.0238,0.4323,87,37,50,0.0269,0.0138,1.95,0.1302,1.64,1.45,momentum,SMA,5,50,1.2,40,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,momentum_ma,0.1488,0.0116,0.4051,43,17,26,0.0251,0.0107,2.35,0.1711,2.8,1.53,momentum,SMA,5,50,1.2,40,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,momentum_ma,0.4937,0.0384,0.445,65,28,37,0.0421,0.0185,2.27,0.2302,1.16,1.72,momentum,SMA,5,50,1.2,50,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,momentum_ma,-0.1654,-0.0129,0.4433,69,30,39,0.0169,0.0172,0.98,0.1316,-1.44,0.75,momentum,SMA,5,50,1.2,50,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,momentum_ma,-0.6672,-0.0519,0.3766,57,21,36,0.0056,0.0218,0.26,0.0799,0.09,0.15,momentum,SMA,5,50,1.2,50,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,momentum_ma,0.1876,0.0146,0.385,75,28,47,0.0123,0.0033,3.7,0.1553,0.22,2.2,momentum,SMA,5,50,1.5,30,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,momentum_ma,-0.0378,-0.0029,0.4013,52,20,32,0.0273,0.0182,1.5,0.125,-0.79,0.94,momentum,SMA,5,50,1.5,30,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,momentum_ma,0.6813,0.053,0.3892,69,26,43,0.0348,0.0052,6.67,0.2207,1.54,4.03,momentum,SMA,5,50,1.5,30,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,momentum_ma,0.1594,0.0124,0.5029,20,10,10,0.0284,0.0124,2.28,0.0978,0.86,2.28,momentum,SMA,5,50,1.5,40,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,momentum_ma,-0.1122,-0.0087,0.3705,36,13,23,0.0218,0.0172,1.27,0.1376,-0.8,0.72,momentum,SMA,5,50,1.5,40,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,momentum_ma,0.4587,0.0357,0.4445,70,31,39,0.021,0.005,4.24,0.1583,1.9,3.37,momentum,SMA,5,50,1.5,40,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,momentum_ma,0.3436,0.0267,0.4095,92,37,55,0.0172,0.0053,3.23,0.0825,0.3,2.17,momentum,SMA,5,50,1.5,50,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,momentum_ma,-0.3158,-0.0246,0.3993,35,13,22,0.0092,0.0198,0.47,0.057,0.52,0.27,momentum,SMA,5,50,1.5,50,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,momentum_ma,-0.2743,-0.0213,0.5383,52,27,25,0.0172,0.0295,0.58,0.1022,-0.82,0.63,momentum,SMA,5,50,1.5,50,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,momentum_ma,0.0813,0.0063,0.36,21,7,14,0.0385,0.0134,2.86,0.055,1.27,1.43,momentum,SMA,5,50,2.0,30,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,momentum_ma,0.7183,0.0559,0.5203,47,24,23,0.039,0.0095,4.12,0.1288,2.7,4.3,momentum,SMA,5,50,2.0,30,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,momentum_ma,0.3715,0.0289,0.4877,44,21,23,0.0276,0.009,3.05,0.2356,1.91,2.79,momentum,SMA,5,50,2.0,30,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,momentum_ma,-0.7607,-0.0592,0.4288,66,28,38,0.0001,0.0201,0.0,0.0896,-1.19,0.0,momentum,SMA,5,50,2.0,40,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,momentum_ma,-0.2413,-0.0188,0.5158,97,50,47,0.0086,0.0143,0.6,0.1987,0.21,0.64,momentum,SMA,5,50,2.0,40,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,momentum_ma,-0.0758,-0.0059,0.3604,87,31,56,0.0192,0.012,1.6,0.2228,-0.27,0.89,momentum,SMA,5,50,2.0,40,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,momentum_ma,0.3916,0.0305,0.4687,69,32,37,0.031,0.0162,1.91,0.16,0.96,1.65,momentum,SMA,5,50,2.0,50,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,momentum_ma,0.299,0.0233,0.5344,63,33,30,0.0167,0.0083,1.99,0.1938,1.34,2.19,momentum,SMA,5,50,2.0,50,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,momentum_ma,0.8373,0.0651,0.4292,62,26,36,0.0356,0.0025,14.33,0.1514,1.66,10.35,momentum,SMA,5,50,2.0,50,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,momentum_ma,-0.1096,-0.0085,0.5165,27,13,14,0.0174,0.024,0.73,0.243,-0.18,0.67,momentum,SMA,5,100,1.2,30,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,momentum_ma,0.0231,0.0018,0.4607,80,36,44,0.0138,0.0108,1.28,0.0796,1.16,1.05,momentum,SMA,5,100,1.2,30,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,momentum_ma,0.1453,0.0113,0.5139,35,17,18,0.0224,0.013,1.71,0.1399,-0.23,1.62,momentum,SMA,5,100,1.2,30,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,momentum_ma,-0.4044,-0.0315,0.3525,64,22,42,0.0128,0.0163,0.78,0.1999,-0.13,0.41,momentum,SMA,5,100,1.2,40,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,momentum_ma,0.1924,0.015,0.398,49,19,30,0.0382,0.0178,2.15,0.1074,1.57,1.36,momentum,SMA,5,100,1.2,40,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,momentum_ma,0.8,0.0622,0.4329,62,26,36,0.0321,0.001,32.73,0.1678,3.08,23.64,momentum,SMA,5,100,1.2,40,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,momentum_ma,0.9804,0.0763,0.5327,82,43,39,0.0323,0.0105,3.09,0.1896,1.31,3.4,momentum,SMA,5,100,1.2,50,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,momentum_ma,-0.1741,-0.0135,0.3924,70,27,43,0.0103,0.0105,0.98,0.2198,-0.67,0.62,momentum,SMA,5,100,1.2,50,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,momentum_ma,0.2053,0.016,0.4004,48,19,29,0.033,0.0146,2.27,0.2236,1.05,1.49,momentum,SMA,5,100,1.2,50,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,momentum_ma,0.7097,0.0552,0.5161,93,47,46,0.0477,0.0333,1.43,0.0571,1.44,1.46,momentum,SMA,5,100,1.5,30,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,momentum_ma,-0.207,-0.0161,0.5124,71,36,35,0.0148,0.0212,0.7,0.1233,-0.65,0.72,momentum,SMA,5,100,1.5,30,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,momentum_ma,0.6558,0.051,0.4745,81,38,43,0.0277,0.0093,3.0,0.2018,1.04,2.65,momentum,SMA,5,100,1.5,30,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,momentum_ma,-0.3005,-0.0234,0.4697,47,22,25,0.0182,0.028,0.65,0.0741,-0.27,0.57,momentum,SMA,5,100,1.5,40,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,momentum_ma,-0.0579,-0.0045,0.4306,93,40,53,0.0398,0.0312,1.28,0.0988,-1.22,0.96,momentum,SMA,5,100,1.5,40,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,momentum_ma,-0.3,-0.0233,0.4654,39,18,21,0.007,0.0203,0.35,0.1662,0.27,0.3,momentum,SMA,5,100,1.5,40,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,momentum_ma,0.2849,0.0222,0.4883,62,30,32,0.0272,0.0166,1.64,0.1959,2.55,1.54,momentum,SMA,5,100,1.5,50,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,momentum_ma,0.286,0.0222,0.4421,96,42,54,0.0325,0.02,1.63,0.2489,2.31,1.26,momentum,SMA,5,100,1.5,50,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,momentum_ma,0.2104,0.0164,0.3781,29,10,19,0.0325,0.006,5.38,0.1462,1.76,2.83,momentum,SMA,5,100,1.5,50,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,momentum_ma,0.0056,0.0004,0.3837,37,14,23,0.0087,0.0051,1.72,0.11,0.5,1.05,momentum,SMA,5,100,2.0,30,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,momentum_ma,-0.0198,-0.0015,0.3732,56,20,36,0.0234,0.0136,1.73,0.1183,-1.25,0.96,momentum,SMA,5,100,2.0,30,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,momentum_ma,-0.18,-0.014,0.5066,30,15,15,0.0181,0.0301,0.6,0.2118,-0.23,0.6,momentum,SMA,5,100,2.0,30,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,momentum_ma,0.0114,0.0009,0.4448,72,32,40,0.0218,0.0171,1.27,0.0981,1.27,1.02,momentum,SMA,5,100,2.0,40,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,momentum_ma,0.6271,0.0488,0.5192,86,44,42,0.0162,0.002,8.09,0.1556,2.24,8.47,momentum,SMA,5,100,2.0,40,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,momentum_ma,0.3156,0.0245,0.5147,66,33,33,0.0313,0.0217,1.44,0.0858,0.48,1.44,momentum,SMA,5,100,2.0,40,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,momentum_ma,-0.075,-0.0058,0.4166,47,19,28,0.0261,0.0204,1.28,0.1299,-0.77,0.87,momentum,SMA,5,100,2.0,50,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,momentum_ma,-0.2338,-0.0182,0.4383,30,13,17,0.0211,0.0299,0.71,0.0913,-0.53,0.54,momentum,SMA,5,100,2.0,50,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,momentum_ma,0.4796,0.0373,0.5379,49,26,23,0.0281,0.0109,2.58,0.1456,2.44,2.92,momentum,SMA,5,100,2.0,50,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,momentum_ma,-0.1213,-0.0094,0.351,95,33,62,0.0344,0.0203,1.7,0.1234,0.34,0.9,momentum,SMA,5,200,1.2,30,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,momentum_ma,0.4402,0.0342,0.4774,86,41,45,0.0284,0.0161,1.77,0.1037,1.25,1.61,momentum,SMA,5,200,1.2,30,ma_cross_volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,momentum_ma,0.1641,0.0128,0.5206,26,13,13,0.022,0.0093,2.35,0.2095,0.73,2.35,momentum,SMA,5,200,1.2,30,ma_cross_rsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,momentum_ma,0.0292,0.0023,0.4397,69,30,39,0.0193,0.0141,1.37,0.1489,2.45,1.05,momentum,SMA,5,200,1.2,40,ma_cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
